num,epic,type,entry,exit,result,pips
1,GBPUSD,BUY,1.33271,,,0.0
2,GBPUSD,BUY,1.33288,,,0.0
3,GBPUSD,BUY,1.33372,,,0.0
5,GBPUSD,BUY,1.33556,,,0.0
6,GBPUSD,BUY,1.33556,,,0.0
8,EURJPY,BUY,1.33556,,,0.0
9,EURJPY,BUY,1.33556,,,0.0
10,EURJPY,BUY,1.33556,,,0.0
11,EURJPY,BUY,1.33556,,,0.0
12,EURUSD,BUY,1.16571,,,0.0
13,EURUSD,BUY,1.16601,,,0.0
18,USDJPY,BUY,1.16601,,,0.0
20,USDJPY,BUY,152.1415,,,0.0
22,GBPUSD,BUY,1.32793,,,0.0
23,NZDUSD,BUY,1.32797,,,0.0
24,USDJPY,BUY,1.32733,,,0.0
27,AUDJPY,BUY,1.3273,,,0.0
28,USDCAD,BUY,1.32736,,,0.0
29,USDCAD,BUY,1.32722,,,0.0
30,EURJPY,BUY,1.32742,,,0.0
31,AUDJPY,BUY,1.1662,,,0.0
32,GBPUSD,BUY,1.16467,,,0.0
33,GBPUSD,BUY,1.16467,,,0.0
34,EURJPY,BUY,1.16467,,,0.0
35,GBPUSD,BUY,1.16467,,,0.0
37,GBPUSD,BUY,1.16467,,,0.0
39,GBPUSD,BUY,1.16325,,,0.0
40,GBPUSD,BUY,1.16325,,,0.0
41,AUDJPY,BUY,1.16325,,,0.0
42,AUDJPY,BUY,1.16418,,,0.0
43,GBPUSD,BUY,1.16418,,,0.0
44,GBPUSD,BUY,1.16418,,,0.0
45,AUDUSD,BUY,1.16418,,,0.0
46,USDCAD,BUY,1.16418,,,0.0
47,USDCAD,BUY,1.16418,,,0.0
48,USDCAD,BUY,1.16418,,,0.0
49,USDCAD,BUY,1.16418,,,0.0
50,AUDUSD,BUY,1.16418,,,0.0
51,GBPUSD,BUY,1.15949,,,0.0
53,EURUSD,BUY,1.15997,,,0.0
55,EURUSD,BUY,1.15997,,,0.0
58,EURUSD,BUY,1.15997,,,0.0
61,GBPUSD,BUY,1.15997,,,0.0
62,USDJPY,BUY,1.15997,,,0.0
63,AUDUSD,BUY,1.15997,,,0.0
64,USDCHF,SELL,1.16118,,,0.0
65,USDJPY,BUY,1.16118,,,0.0
66,EURJPY,BUY,1.16154,,,0.0
68,EURUSD,BUY,1.16154,,,0.0
69,USDJPY,BUY,1.16178,,,0.0
70,USDJPY,BUY,1.16178,,,0.0
71,GBPUSD,BUY,1.16178,,,0.0
73,EURJPY,BUY,1.16178,,,0.0
74,EURJPY,BUY,1.16178,,,0.0
75,EURJPY,BUY,1.16178,,,0.0
76,GBPUSD,BUY,1.16178,,,0.0
78,GBPUSD,BUY,1.16178,,,0.0
80,GBPUSD,BUY,1.16178,,,0.0
81,EURJPY,BUY,1.16178,,,0.0
82,USDCAD,BUY,1.16178,,,0.0
83,USDCAD,BUY,1.15652,,,0.0
84,EURUSD,BUY,1.15677,,,0.0
85,EURUSD,BUY,1.1572,,,0.0
86,USDCAD,BUY,1.15721,,,0.0
87,USDCAD,BUY,1.15721,,,0.0
88,NZDUSD,BUY,1.15721,,,0.0
89,GBPUSD,BUY,1.15721,,,0.0
90,GBPUSD,BUY,1.15721,,,0.0
91,EURUSD,BUY,1.15327,,,0.0
93,EURUSD,BUY,1.15387,,,0.0
96,EURJPY,BUY,1.15338,,,0.0
97,EURUSD,BUY,1.1532,,,0.0
100,EURJPY,BUY,1.15293,,,0.0
101,EURJPY,BUY,1.15302,,,0.0
102,EURJPY,BUY,1.15254,,,0.0
103,USDCHF,SELL,1.15365,,,0.0
